2015/11/17 15:57:49 INFO  - jmeter.util.JMeterUtils: Setting Locale to es_ES 
2015/11/17 15:57:50 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'es_ES', using 'es' 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: Loading user properties from: E:\ARQUITECTURA WEB\Bases\apache-jmeter-2.13\bin\user.properties 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: Loading system properties from: E:\ARQUITECTURA WEB\Bases\apache-jmeter-2.13\bin\system.properties 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: java.version=1.8.0_65 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: os.name=Windows 7 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: os.arch=amd64 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: os.version=6.1 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: Default Locale=español (España) 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: JMeter  Locale=español (España) 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: JMeterHome=E:\ARQUITECTURA WEB\Bases\apache-jmeter-2.13 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: user.dir  =E:\ARQUITECTURA WEB\Bases\apache-jmeter-2.13\bin 
2015/11/17 15:57:50 INFO  - jmeter.JMeter: PWD       =E:\ARQUITECTURA WEB\Bases\apache-jmeter-2.13\bin 
2015/11/17 15:57:52 INFO  - jmeter.JMeter: IP: 172.31.116.46 Name: PC17 FullName: 172.31.116.46 
2015/11/17 15:57:53 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/11/17 15:57:53 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/11/17 15:57:56 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/11/17 15:57:56 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/11/17 15:57:57 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/11/17 15:57:57 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/11/17 15:57:57 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/11/17 15:57:57 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/11/17 15:57:57 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/11/17 15:57:57 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/11/17 15:57:57 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/11/17 15:57:57 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2015/11/17 15:57:57 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
